State,County,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
Florida,Pinellas,06/29/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Pinellas,06/29/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,FL FWCC
Iowa,Buchanan,05/17/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,IA DNR
New Jersey,Monmouth,05/25/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Monmouth,05/25/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Monmouth,05/25/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Monmouth,05/25/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Monmouth,05/25/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,NWDP
New York,Orange,05/20/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Suffolk,05/20/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NY DEC
New York,Rockland,05/20/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Chautauqua,05/20/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Monroe,05/24/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NY DEC
New York,Erie,05/27/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NY DEC
New York,Suffolk,06/02/2022,EA H5N1,Gull (unidentified),Wild bird,Morbidity/Mortality,NY DEC
Idaho,Ada,06/08/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,ID Fish and Game
Idaho,Ada,06/08/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,ID Fish and Game
Idaho,Ada,06/10/2022,EA/AM H5N1,Harris hawk,Wild bird,Morbidity/Mortality,ID Fish and Game
Idaho,Ada,06/22/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,ID Fish and Game
New York,Chautauqua,06/08/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Saratoga,06/09/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Orange,06/09/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Rensselaer,06/09/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Jefferson,06/10/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Franklin,06/10/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Seneca,05/12/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NY DEC
New York,Clinton,05/12/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Livingston,06/21/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NY DEC
New York,St. Lawrence,06/29/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NY DEC
New York,St. Lawrence,06/29/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NY DEC
New York,St. Lawrence,06/29/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NY DEC
Oregon,Clackamas,05/19/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Lane,05/23/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Lane,05/23/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Lane,05/24/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Umatilla,06/14/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Harney,06/16/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Marion,06/16/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Marion,06/16/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Union,06/29/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Pennsylvania,Chester,05/17/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Franklin,05/31/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Bucks,05/31/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Lancaster,05/31/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Lancaster,05/31/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Lancaster,05/31/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Franklin,05/31/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Franklin,05/31/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Montgomery,06/09/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Montgomery,06/09/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Dauphin,06/16/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Dauphin,06/16/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Dauphin,06/16/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Delaware,06/21/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Crawford,06/21/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,PA Game Commission
Utah,Salt Lake,05/19/2022,EA H5N1,Mallard,Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,05/20/2022,EA H5N1,Owl (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Carbon,05/20/2022,EA H5N1,American white pelican,Wild bird,Morbidity/Mortality,UT DWR
Utah,Carbon,05/20/2022,EA/AM H5N1,American white pelican,Wild bird,Morbidity/Mortality,UT DWR
Utah,Carbon,05/24/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,UT DWR
Utah,Cache,05/24/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,UT DWR
Utah,Weber,06/02/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/07/2022,EA H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/07/2022,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/10/2022,EA/AM H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/14/2022,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/14/2022,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/14/2022,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/14/2022,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/14/2022,EA H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/14/2022,EA H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Weber,06/14/2022,EA H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Cache,05/18/2022,EA/AM H5N1,Owl (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Cache,05/18/2022,EA/AM H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Cache,05/18/2022,EA/AM H5N1,Owl (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Cache,05/18/2022,EA/AM H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Cache,05/18/2022,EA/AM H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Cache,05/19/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,UT DWR
Utah,Weber,06/02/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,UT DWR
Utah,Salt Lake,06/02/2022,EA H5N1,Owl (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Weber,06/07/2022,EA H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,UT DWR
Utah,Weber,06/14/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,UT DWR
Washington,King,06/29/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,WA DFW
Washington,King,05/23/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,King,05/23/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,King,05/26/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,King,06/15/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,King,06/15/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,WA DFW
Washington,King,06/15/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,King,06/15/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,Snohomish,05/23/2022,EA H5N1,Mallard,Wild bird,Morbidity/Mortality,WA DFW
Washington,Snohomish,05/23/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,Snohomish,06/15/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,Spokane,05/25/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,WA DFW
Washington,Spokane,05/25/2022,EA H5N1,Common raven,Wild bird,Morbidity/Mortality,WA DFW
Washington,Island,05/25/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,WA DFW
Washington,Benton,05/25/2022,EA H5N1,American crow,Wild bird,Morbidity/Mortality,WA DFW
Washington,Benton,05/25/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,Benton,05/25/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,WA DFW
Washington,Franklin,06/14/2022,EA/AM H5N1,Gull (unidentified),Wild bird,Morbidity/Mortality,WA DFW
Washington,Whatcom,06/14/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,WA DFW
Washington,Pierce,06/22/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WA DFW
Washington,Yakima,06/24/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,WA DFW
Washington,Yakima,06/24/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,WA DFW
Washington,Yakima,06/24/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,WA DFW
Michigan,Muskegon,06/17/2022,EA/AM H5N1,Double-crested cormorant,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Midland,06/17/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Ottawa,06/17/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Saginaw,06/17/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Saginaw,06/17/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Wayne,06/17/2022,EA H5N1,Common loon,Wild bird,Morbidity/Mortality,MI DNR
Wisconsin,Door,06/24/2022,EA/AM H5N1,Double-crested cormorant,Wild bird,Morbidity/Mortality,USFWS/USGS
Wisconsin,Door,06/24/2022,EA/AM H5N1,Double-crested cormorant,Wild bird,Morbidity/Mortality,USFWS/USGS
North Dakota,Stutsman,06/29/2022,EA/AM H5N1,Eared grebe,Wild bird,Morbidity/Mortality,ND Game and Fish/USFWS/USGS
North Dakota,Stutsman,06/29/2022,EA/AM H5N1,Eared grebe,Wild bird,Morbidity/Mortality,ND Game and Fish/USFWS/USGS
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/06/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Michigan,Grand Traverse,07/11/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,Private (non-government) submission
Oregon,Multnomah,07/07/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Multnomah,07/07/2022,EA/AM H5N1,Great blue heron,Wild bird,Morbidity/Mortality,OR DFW
California,Glenn,07/14/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,USFWS/USGS
California,Colusa,07/14/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,USFWS/USGS
California,Colusa,07/14/2022,EA/AM H5N1,American white pelican,Wild bird,Morbidity/Mortality,USFWS/USGS
Florida,Hillsborough,04/15/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,USFWS/SCWDS
Kansas,Brown,06/07/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,KS DWP/SCWDS
Georgia,Toombs,06/07/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,GA DNR/SCWDS
Georgia,Toombs,06/07/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,GA DNR/SCWDS
Georgia,Toombs,06/07/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,GA DNR/SCWDS
Florida,Hillsborough,05/27/2022,EA H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC/SCWDS
Virginia,King George,04/29/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,VA DWR/SCWDS
Florida,St. Johns,04/29/2022,EA H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC/SCWDS
South Carolina,Charleston,05/20/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,SC DNR/SCWDS
South Carolina,Charleston,05/20/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,SC DNR/SCWDS
South Carolina,Charleston,05/20/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,SC DNR/SCWDS
Georgia,Chatham,06/24/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,GA DNR/SCWDS
Kansas,Lyon,06/24/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,KS DWP/SCWDS
Kansas,Rawlins,04/08/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,KS DWP/SCWDS
Montana,Ravalli,05/20/2022,EA/AM H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,MT FWP
Montana,Ravalli,05/20/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,MT FWP
Montana,Gallatin,05/20/2022,EA/AM H5N1,Common raven,Wild bird,Morbidity/Mortality,MT FWP
Montana,Gallatin,05/20/2022,EA/AM H5N1,Hawk (unidentified),Wild bird,Morbidity/Mortality,MT FWP
Montana,Gallatin,06/07/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,MT FWP
Montana,Ravalli,06/16/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,MT FWP
Montana,Ravalli,06/16/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,MT FWP
Montana,Missoula,06/16/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,MT FWP
Montana,Flathead,07/15/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MT FWP
Pennsylvania,Montgomery,07/14/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Montgomery,07/14/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Montgomery,07/14/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Franklin,07/15/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Erie,07/15/2022,EA/AM H5N1,Herring gull,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Erie,07/15/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Crawford,07/15/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Butler,07/15/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Columbia,07/15/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Lancaster,07/15/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Dauphin,07/15/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,York,07/15/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Crawford,07/15/2022,EA/AM H5N1,Wood duck,Wild bird,Morbidity/Mortality,PA Game Commission
Oregon,Benton,07/12/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Benton,07/12/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,OR DFW
Oregon,Benton,07/14/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,OR DFW
Alaska,Sitka,06/24/2022,EA H5,Bald eagle,Wild bird,Morbidity/Mortality,AK DFG/USFWS
Alaska,North Slope,07/11/2022,EA H5N1,Common raven,Wild bird,Morbidity/Mortality,AK DFG/USFWS
Alaska,North Slope,07/11/2022,EA H5N1,Common raven,Wild bird,Morbidity/Mortality,AK DFG/USFWS
Alaska,North Slope,07/11/2022,EA H5N1,Common raven,Wild bird,Morbidity/Mortality,AK DFG/USFWS
Alaska,North Slope,07/11/2022,EA H5,Common raven,Wild bird,Morbidity/Mortality,AK DFG/USFWS
Alaska,Bethel,07/11/2022,EA/AM H5N1,Parasitic jaeger,Wild bird,Morbidity/Mortality,AK DFG/USFWS
Alaska,Bethel,07/11/2022,EA/AM H5N1,Arctic tern,Wild bird,Morbidity/Mortality,AK DFG/USFWS
Alaska,Bethel,07/11/2022,EA H5N1,Gull (unidentified),Wild bird,Morbidity/Mortality,AK DFG/USFWS
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,07/11/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Alachua,07/14/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Idaho,Ada,07/14/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,ID Fish and Game
Idaho,Ada,07/14/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,ID Fish and Game
Massachusetts,Essex,07/25/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/25/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/25/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/25/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/25/2022,EA H5N1,Herring gull,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/25/2022,EA H5N1,Double-crested cormorant,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Herring gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Washington,07/25/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Herring gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Gull (unidentified),Wild bird,Morbidity/Mortality,Tufts University
Maine,Washington,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Double-crested cormorant,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Knox,07/25/2022,EA H5N1,Common tern,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Knox,07/25/2022,EA H5N1,Arctic tern,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Maine,Knox,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Herring gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/25/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Double-crested cormorant,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Peregrine falcon,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Suffolk,07/06/2022,EA H5N1,Peregrine falcon,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/06/2022,EA H5N1,Common tern,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/06/2022,EA H5N1,Common tern,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/06/2022,EA H5N1,Common tern,Wild bird,Morbidity/Mortality,Tufts University
Maine,Hancock,07/06/2022,EA H5N1,Common tern,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,07/06/2022,EA H5N1,Common eider,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,07/06/2022,EA H5N1,Great black-backed gull,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Barnstable,06/01/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,Tufts University
Massachusetts,Essex,06/01/2022,EA H5N1,Snowy owl,Wild bird,Morbidity/Mortality,Tufts University
